상품코드,판매상품 ID,상품명,정가,판매가,할인율,적립율,적립예정포인트,인물,출판사,발행(출시)일자,분야
9788966264414,S000213057051,JVM 밑바닥까지 파헤치기,"43,000","38,700",10%,5%,"2,150",저우즈밍,인사이트,20240430,컴퓨터/IT
9791158395025,S000212653041,도메인 스토리텔링,"28,000","25,200",10%,5%,"1,400",스테판 호퍼 외,위키북스,20240312,컴퓨터/IT
9788966264353,S000212266758,가상 면접 사례로 배우는 머신러닝 시스템 설계 기초,"27,000","24,300",10%,5%,"1,350",알리 아미니안 외,인사이트,20240223,컴퓨터/IT
9788966264285,S000211648247,CODE,"35,000","31,500",10%,5%,"1,750",찰스 펫졸드,인사이트,20231222,컴퓨터/IT
9791192932347,S000211352934,따라하며 배우는 파이썬과 데이터 과학,"29,000","29,000",0%,0%,0,천인국 외,생능출판,20231120,컴퓨터/IT
9791163034735,S000202532365,Do it! 점프 투 파이썬,"22,000","19,800",10%,5%,"1,100",박응용,이지스퍼블리싱,20230615,컴퓨터/IT
9791169211130,S000202595362,프로덕트 매니지먼트,"23,000","20,700",10%,5%,"1,150",김영욱,한빛미디어,20230608,컴퓨터/IT
9791169210850,S000201212403,머신러닝 시스템 설계,"38,000","34,200",10%,5%,"1,900",칩 후옌,한빛미디어,20230313,컴퓨터/IT
9791165219529,S000001834833,면접을 위한 CS 전공지식 노트,"24,000","21,600",10%,5%,"1,200",주홍철,길벗,20220428,컴퓨터/IT
9791191198171,S000001949035,"정보영재원 대비 문제집 SW, 로봇(중등 초6~중2)","28,000","25,200",10%,5%,"1,400",최종원 외,잇플,20211126,컴퓨터/IT
9791191600315,S000001952218,인공지능 1,"42,000","37,800",10%,5%,"2,100",스튜어트 러셀 외,제이펍,20210825,컴퓨터/IT
9791191600322,S000001952219,인공지능 2,"38,000","34,200",10%,5%,"1,900",스튜어트 러셀 외,제이펍,20210825,컴퓨터/IT
9791156645436,S000001743819,컴퓨터 구조와 원리 3.0,"29,000","29,000",0%,3%,870,신종홍,한빛아카데미,20210630,컴퓨터/IT
9791162244180,S000001810380,데이터 과학을 위한 통계,"34,000","30,600",10%,5%,"1,700",피터 브루스 외,한빛미디어,20210507,컴퓨터/IT
9791162243596,S000001810323,밑바닥부터 시작하는 딥러닝 3,"38,000","34,200",10%,5%,"1,900",사이토 고키,한빛미디어,20201110,컴퓨터/IT
9791185475578,S000001868743,운영체제,"39,000","39,000",0%,3%,"1,170",Abraham Silberschatz 외,퍼스트북,20200228,컴퓨터/IT
9791185475554,S000001868741,디지털 디자인,"34,000","34,000",0%,3%,"1,020",M. Morris Mano 외,퍼스트북,20200228,컴퓨터/IT
9791156644408,S000001743716,논문 통계분석,"28,000","28,000",0%,3%,840,노경섭,한빛아카데미,20190228,컴퓨터/IT
9788970509013,S000001076292,C# 프로그래밍 입문,"27,000","27,000",0%,3%,810,오세만 외,생능출판,20170314,컴퓨터/IT
9788966261109,S000001032991,피플웨어,"16,800","15,120",10%,5%,840,톰 드마르코 외,인사이트,20140715,컴퓨터/IT
9788935303809,S000000600853,화일구조,"30,000","30,000",0%,3%,900,이석호,정익사,20130110,컴퓨터/IT
9788966260522,S000001032944,리버싱 핵심 원리,"48,000","43,200",10%,5%,"2,400",이승원,인사이트,20120930,컴퓨터/IT
9791199290044,S000221278142,당신의 게임은 이미 실패하고 있다,"25,000","22,500",10%,5%,"1,250",한지훈,문예사학,20261030,컴퓨터/IT
9788960885233,S000221367161,일 잘하는 직장인의 클로드 활용법,"25,000","22,500",10%,5%,"1,250",김도경 외,디지털북스,20261015,컴퓨터/IT
9791199938571,S000221341741,SQL부터 AI까지 데이터 분석 with 클로드 코드,"32,000","28,800",10%,5%,"1,600",조한성,정보문화사,20260930,컴퓨터/IT
9791140720491,S000221327569,"AI 읽는 힘, 보는 힘(AI 문해력 문화력)","28,000","25,200",10%,5%,"1,400",김경수,길벗캠퍼스,20260930,컴퓨터/IT
